stop_id,stop_code,stop_lat,stop_lon
LIVRANW,1980,39.946214,-82.901942
LIVBARW,1983,39.946455,-82.906055
LIVHAMW1,1984,39.946755,-82.911858
LIVJAMW,1985,39.946932,-82.915257
LIVKENW,1986,39.947098,-82.918575
LIVVERW,1990,39.947688,-82.929326
LIVMONW,1991,39.947838,-82.932096
FIS1247W,1992,40.023663,-83.045965
LIVCOLW,1994,39.948101,-82.936901
KIMBURE,1995,39.922975,-82.893296
LIVMAYW,1996,39.948295,-82.941002
LIVRHOW,1998,39.948691,-82.948918
LIVFAIW,1999,39.948928,-82.953394
LIVLILW,2002,39.949148,-82.957908
LIVLOCW,2005,39.949392,-82.962846
LIVWILW,2006,39.949613,-82.967516
LIVCHAW,2008,39.949748,-82.970345
LIVOHIW,2009,39.949822,-82.971857
LIVANNW,2012,39.951749,-82.980546
LIVPARW,2013,39.95232,-82.983164
LIVGRANW,2015,39.952509,-82.988757
LIVMOHW,2016,39.952709,-82.99312
FUL3RDW,2017,39.953864,-82.996165
FULHIGW,2018,39.953592,-82.998468
MAIHENNW,2020,39.854365,-82.896041
BRYRHOW,2036,39.960125,-82.949884
BRYFAIW,2041,39.960189,-82.952495
TOWWASW,2055,39.9604,-82.986756
TOWGRAE,2065,39.959899,-82.989878
TOWWASE,2066,39.960286,-82.986557
TOWLESE,2067,39.96061,-82.983604
BRYPARE,2068,39.960597,-82.981402
BRYMONE,2069,39.96055,-82.978672
BRY18TE,2070,39.960503,-82.975626
BRYCHAE,2073,39.960389,-82.968982
BRYWILE,2074,39.960347,-82.966618
BRYOPPE,2075,39.960287,-82.962925
BRYMILE,2076,39.960242,-82.960229
BRYKELE,2077,39.960211,-82.957794
BRYMORE,2078,39.960142,-82.955148
BRYFAIE,2079,39.96009,-82.952904
BRYMORW,2082,39.960251,-82.954738
BRYKELW,2083,39.960316,-82.958289
BRYMILW,2084,39.960349,-82.960281
BRYALTW,2085,39.960403,-82.963271
BRYWILW,2086,39.960463,-82.966225
BRYCHAW,2087,39.960494,-82.969013
BRYOHIW,2088,39.960537,-82.970891
BRYMONW,2091,39.960677,-82.978813
BRYPARW,2092,39.960724,-82.981644
TOWLESW,2093,39.960763,-82.983454
FREPARE,2109,39.935431,-82.983818
FREANNE,2110,39.935337,-82.981334
FRE18TE,2111,39.935206,-82.978535
FRESTUE,2116,39.934572,-82.965231
LOCSHES,2117,39.932993,-82.964624
LOCMARS,2118,39.930504,-82.96483
LOCSMIS,2119,39.92734,-82.96508
LOCREES,2120,39.924354,-82.965354
LOC234S,2123,39.916746,-82.965949
KOEACRE,2124,39.912571,-82.965484
KOEEDSLE,2126,39.912313,-82.960481
KOEFAIE,2127,39.912145,-82.957117
FAIFABS,2128,39.908924,-82.957155
FAIWATS,2130,39.904988,-82.957444
CAM132N,2136,39.983638,-83.057999
NAG6THE,2137,39.968627,-82.993035
FAIWATN,2139,39.904649,-82.957347
FAIFABN,2140,39.908535,-82.957028
KOEFAIW,2141,39.912235,-82.957165
SAICLEN,2143,40.113474,-82.947501
LOCMARN,2145,39.923086,-82.96524
LOCINNN,2146,39.925153,-82.965124
LOCSMIN,2147,39.927354,-82.964936
LOCMOLN,2149,39.93251,-82.964527
FRESTUW,2150,39.934698,-82.965863
FREOAKW,2152,39.934883,-82.969789
FREOHIW,2153,39.935034,-82.972775
FREGILW,2154,39.935152,-82.975271
FRE18TW,2155,39.935306,-82.978521
FREANNW,2156,39.935443,-82.981373
FREPARW,2157,39.935536,-82.983382
KIMCOUE,2167,39.921481,-82.89636
LONTALE,2171,39.967372,-82.979447
LON17TE,2172,39.967731,-82.976765
LON20TE,2173,39.968025,-82.97379
LONOHIE,2175,39.968428,-82.970117
LONCHAE,2176,39.968601,-82.968591
LONWINE,2177,39.96888,-82.966175
GRESHEW,2184,39.971629,-82.95006
GREGREW,2185,39.973629,-82.952466
LONWINW,2192,39.968993,-82.966308
LON20TW,2195,39.968198,-82.973344
LON18TW,2196,39.967928,-82.975719
LONMONW,2197,39.967571,-82.978851
